n_features,features,silhouette,jacs_score,combined,k,best_cluster,best_n_good,best_n_jacs
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_34')",0.2878329760798129,1.5,0.651483083255869,3,0,83,83
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'AAC_G', 'ESM2_1271')",0.2877669609586524,1.5,0.6514368726710567,3,2,84,84
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'InterPLM_esm2-650m_L24_mean_1356')",0.2872871133269546,1.5,0.6511009793288682,3,1,84,84
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'ESM2_848', 'ESM2_82')",0.287261532824113,1.5,0.6510830729768791,2,0,79,81
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_1277')",0.2870040645083552,1.5,0.6509028451558486,3,2,85,85
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'ESM2_578', 'AAC_G')",0.28675628195565883,1.5,0.6507293973689612,3,2,85,85
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'ESM2_848', 'ESM2_406')",0.2866683204156826,1.5,0.6506678242909778,2,0,76,78
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'AAC_G', 'InterPLM_esm2-650m_L24_mean_1774')",0.28628591734475195,1.5,0.6504001421413264,3,2,86,86
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'InterPLM_esm2-650m_L24_mean_7025', 'AAC_G')",0.28627807279920525,1.5,0.6503946509594436,3,2,88,88
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_80')",0.28626215043357983,1.5,0.6503835053035059,2,0,91,93
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_960')",0.28624238517901957,1.5,0.6503696696253136,3,1,83,83
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'ESM2_848', 'AAC_G')",0.28606917720054215,1.5,0.6502484240403794,2,0,90,91
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_40')",0.2857661033012664,1.5,0.6500362723108865,2,0,92,94
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_1048')",0.28549554764083723,1.5,0.649846883348586,3,2,87,87
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'AAC_G', 'ESM2_1271')",0.2852587708891524,1.5,0.6496811396224067,3,2,86,86
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'InterPLM_esm2-650m_L24_mean_1917', 'AAC_G')",0.284864678496786,1.5,0.6494052749477501,3,0,90,90
